,product_name,ratings,sale_price,actual_price
147,"Lenovo IdeaPad Slim 3 AMD Ryzen 7 5700U(16GB DDR4 RAM /512GB M.2 NVMe SSD/Windows 11 + MS Office 21/Backlit KB /15.6"" FHD 300Nits Anti Glare/1Yr ADP Free/Arctic Grey/1.65Kg)",3.7,"42,990","74,090"
148,HP Laptop 15,3.3,"35,490","48,419"
149,"GIGABYTE G5 KE-52IN213SH with 15.6"" FHD 144Hz",3.3,"1,00,757","1,29,990"
150,HP Laptop 15s,4.1,"31,490","47,142"
151,ASUS Vivobook Go 14 Ryzen 7 Octa Ryzen 5 7520U (16 GB/512 GB SSD/Windows 11 Home) E1404FA-NK541WS Laptop (14 inch,4.2,"38,970","59,500"
152,(Refurbished) Dell Latitude Ultralight 1.23 Kg Laptop 7290 Intel Core i5 Mobile-8th Gen -Processor ,,"21,990","96,990"
153,ASUS Vivobook Go 14 (2023),4.2,"42,990","70,990"
154,Dell Inspiron 5430 13th Gen Laptop,3.8,"64,490","78,262"
155,"Lenovo V15 12th Gen Intel Core i7-1255U 15.6"" FHD Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home & Student 2021/Iron Grey/1.70 kg)",,"51,990","90,540"
156,ASUS ROG Zephyrus G16,3.9,"2,89,990","3,35,990"
157,"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16GB RAM / 512GB SSD /14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)",3.3,"16,199","59,999"
158,ASUS Vivobook 15,3.7,"64,990","80,990"
159,MSI Katana A17 AI,4.6,"1,43,990","1,64,990"
160,Dell Inspiron 3520 Thin & Light Laptop,3.3,"35,490","48,282"
161,"Lenovo S14 Intel Core I5 12th Gen 14"" (35.56 cm) FHD IPS (1920x1080) Antiglare 300Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Pro/Backlit/Cloud Grey/1.5 kg/3Y Premium Care)",3.1,"44,990","1,26,628"
162,"Lenovo Thinkbook 15 G5 Ryzen 3 15.6"" Fhd IPS Antiglare 300 Nits Thin and Light AMD Laptop (8Gb Ram/512Gb Ssd/Windows 11 Home/Fpr/Mineral Grey/1 Year Onsite/1.7 Kg)",2.9,"30,490","58,500"
163,"Lenovo AMD Thinkbook 16 G6 Ryzen 5 16"" Wuxga IPS Antiglare 300 Nits Thin and Light Laptop (16Gb Ram/512Gb Ssd/Windows 11 Home/Fpr/Arctic Grey/1 Year Onsite/1.7 Kg)",4.4,"42,990","86,130"
